"heterogeneity","tau","replicate","model","site","status","message"
"high",10,3,"Federated: site-specific slopes","5","ok",""
"high",10,3,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,3,"Federated: site-specific slopes","1","ok",""
"low",15,3,"Federated: site-specific slopes","2","ok",""
"low",15,3,"Federated: site-specific slopes","3","ok",""
"low",15,3,"Federated: site-specific slopes","4","ok",""
"low",15,3,"Federated: site-specific slopes","5","ok",""
"low",15,3,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,3,"Federated: site-specific slopes","1","ok",""
"moderate",15,3,"Federated: site-specific slopes","2","ok",""
"moderate",15,3,"Federated: site-specific slopes","3","ok",""
"moderate",15,3,"Federated: site-specific slopes","4","ok",""
"moderate",15,3,"Federated: site-specific slopes","5","ok",""
"moderate",15,3,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,3,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",15,3,"Federated: site-specific slopes","2","ok",""
"high",15,3,"Federated: site-specific slopes","3","ok",""
"high",15,3,"Federated: site-specific slopes","4","ok",""
"high",15,3,"Federated: site-specific slopes","5","ok",""
"high",15,3,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,4,"Federated: site-specific slopes","1","ok",""
"low",5,4,"Federated: site-specific slopes","2","ok",""
"low",5,4,"Federated: site-specific slopes","3","ok",""
"low",5,4,"Federated: site-specific slopes","4","ok",""
"low",5,4,"Federated: site-specific slopes","5","ok",""
"low",5,4,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,4,"Federated: site-specific slopes","1","ok",""
"moderate",5,4,"Federated: site-specific slopes","2","ok",""
"moderate",5,4,"Federated: site-specific slopes","3","ok",""
"moderate",5,4,"Federated: site-specific slopes","4","ok",""
"moderate",5,4,"Federated: site-specific slopes","5","ok",""
"moderate",5,4,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,4,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",5,4,"Federated: site-specific slopes","2","ok",""
"high",5,4,"Federated: site-specific slopes","3","ok",""
"high",5,4,"Federated: site-specific slopes","4","ok",""
"high",5,4,"Federated: site-specific slopes","5","ok",""
"high",5,4,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,4,"Federated: site-specific slopes","1","ok",""
"low",10,4,"Federated: site-specific slopes","2","ok",""
"low",10,4,"Federated: site-specific slopes","3","ok",""
"low",10,4,"Federated: site-specific slopes","4","ok",""
"low",10,4,"Federated: site-specific slopes","5","ok",""
"low",10,4,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,4,"Federated: site-specific slopes","1","ok",""
"moderate",10,4,"Federated: site-specific slopes","2","ok",""
"moderate",10,4,"Federated: site-specific slopes","3","ok",""
"moderate",10,4,"Federated: site-specific slopes","4","ok",""
"moderate",10,4,"Federated: site-specific slopes","5","ok",""
"moderate",10,4,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,4,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",10,4,"Federated: site-specific slopes","2","ok",""
"high",10,4,"Federated: site-specific slopes","3","ok",""
"high",10,4,"Federated: site-specific slopes","4","ok",""
"high",10,4,"Federated: site-specific slopes","5","ok",""
"high",10,4,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,4,"Federated: site-specific slopes","1","ok",""
"low",15,4,"Federated: site-specific slopes","2","ok",""
"low",15,4,"Federated: site-specific slopes","3","ok",""
"low",15,4,"Federated: site-specific slopes","4","ok",""
"low",15,4,"Federated: site-specific slopes","5","ok",""
"low",15,4,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,4,"Federated: site-specific slopes","1","ok",""
"moderate",15,4,"Federated: site-specific slopes","2","ok",""
"moderate",15,4,"Federated: site-specific slopes","3","ok",""
"moderate",15,4,"Federated: site-specific slopes","4","ok",""
"moderate",15,4,"Federated: site-specific slopes","5","ok",""
"moderate",15,4,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,4,"Federated: site-specific slopes","1","ok",""
"high",15,4,"Federated: site-specific slopes","2","ok",""
"high",15,4,"Federated: site-specific slopes","3","ok",""
"high",15,4,"Federated: site-specific slopes","4","ok",""
"high",15,4,"Federated: site-specific slopes","5","ok",""
"high",15,4,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,5,"Federated: site-specific slopes","1","ok",""
"low",5,5,"Federated: site-specific slopes","2","ok",""
"low",5,5,"Federated: site-specific slopes","3","ok",""
"low",5,5,"Federated: site-specific slopes","4","ok",""
"low",5,5,"Federated: site-specific slopes","5","ok",""
"low",5,5,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,5,"Federated: site-specific slopes","1","ok",""
"moderate",5,5,"Federated: site-specific slopes","2","ok",""
"moderate",5,5,"Federated: site-specific slopes","3","ok",""
"moderate",5,5,"Federated: site-specific slopes","4","ok",""
"moderate",5,5,"Federated: site-specific slopes","5","ok",""
"moderate",5,5,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,5,"Federated: site-specific slopes","1","ok",""
"high",5,5,"Federated: site-specific slopes","2","ok",""
"high",5,5,"Federated: site-specific slopes","3","ok",""
"high",5,5,"Federated: site-specific slopes","4","ok",""
"high",5,5,"Federated: site-specific slopes","5","ok",""
"high",5,5,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,5,"Federated: site-specific slopes","1","ok",""
"low",10,5,"Federated: site-specific slopes","2","ok",""
"low",10,5,"Federated: site-specific slopes","3","ok",""
"low",10,5,"Federated: site-specific slopes","4","ok",""
"low",10,5,"Federated: site-specific slopes","5","ok",""
"low",10,5,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,5,"Federated: site-specific slopes","1","ok",""
"moderate",10,5,"Federated: site-specific slopes","2","ok",""
"moderate",10,5,"Federated: site-specific slopes","3","ok",""
"moderate",10,5,"Federated: site-specific slopes","4","ok",""
"moderate",10,5,"Federated: site-specific slopes","5","ok",""
"moderate",10,5,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,5,"Federated: site-specific slopes","1","ok",""
"high",10,5,"Federated: site-specific slopes","2","ok",""
"high",10,5,"Federated: site-specific slopes","3","ok",""
"high",10,5,"Federated: site-specific slopes","4","ok",""
"high",10,5,"Federated: site-specific slopes","5","ok",""
"high",10,5,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,5,"Federated: site-specific slopes","1","ok",""
"low",15,5,"Federated: site-specific slopes","2","ok",""
"low",15,5,"Federated: site-specific slopes","3","ok",""
"low",15,5,"Federated: site-specific slopes","4","ok",""
"low",15,5,"Federated: site-specific slopes","5","ok",""
"low",15,5,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,5,"Federated: site-specific slopes","1","ok",""
"moderate",15,5,"Federated: site-specific slopes","2","ok",""
"moderate",15,5,"Federated: site-specific slopes","3","ok",""
"moderate",15,5,"Federated: site-specific slopes","4","ok",""
"moderate",15,5,"Federated: site-specific slopes","5","ok",""
"moderate",15,5,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,5,"Federated: site-specific slopes","1","ok",""
"high",15,5,"Federated: site-specific slopes","2","ok",""
"high",15,5,"Federated: site-specific slopes","3","ok",""
"high",15,5,"Federated: site-specific slopes","4","ok",""
"high",15,5,"Federated: site-specific slopes","5","ok",""
"high",15,5,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,6,"Federated: site-specific slopes","1","ok",""
"low",5,6,"Federated: site-specific slopes","2","ok",""
"low",5,6,"Federated: site-specific slopes","3","ok",""
"low",5,6,"Federated: site-specific slopes","4","ok",""
"low",5,6,"Federated: site-specific slopes","5","ok",""
"low",5,6,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,6,"Federated: site-specific slopes","1","ok",""
"moderate",5,6,"Federated: site-specific slopes","2","ok",""
"moderate",5,6,"Federated: site-specific slopes","3","ok",""
"moderate",5,6,"Federated: site-specific slopes","4","ok",""
"moderate",5,6,"Federated: site-specific slopes","5","ok",""
"moderate",5,6,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,6,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",5,6,"Federated: site-specific slopes","2","ok",""
"high",5,6,"Federated: site-specific slopes","3","ok",""
"high",5,6,"Federated: site-specific slopes","4","ok",""
"high",5,6,"Federated: site-specific slopes","5","ok",""
"high",5,6,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,6,"Federated: site-specific slopes","1","ok",""
"low",10,6,"Federated: site-specific slopes","2","ok",""
"low",10,6,"Federated: site-specific slopes","3","ok",""
"low",10,6,"Federated: site-specific slopes","4","ok",""
"low",10,6,"Federated: site-specific slopes","5","ok",""
"low",10,6,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,6,"Federated: site-specific slopes","1","ok",""
"moderate",10,6,"Federated: site-specific slopes","2","ok",""
"moderate",10,6,"Federated: site-specific slopes","3","ok",""
"moderate",10,6,"Federated: site-specific slopes","4","ok",""
"moderate",10,6,"Federated: site-specific slopes","5","ok",""
"moderate",10,6,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,6,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",10,6,"Federated: site-specific slopes","2","ok",""
"high",10,6,"Federated: site-specific slopes","3","ok",""
"high",10,6,"Federated: site-specific slopes","4","ok",""
"high",10,6,"Federated: site-specific slopes","5","ok",""
"high",10,6,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,6,"Federated: site-specific slopes","1","ok",""
"low",15,6,"Federated: site-specific slopes","2","ok",""
"low",15,6,"Federated: site-specific slopes","3","ok",""
"low",15,6,"Federated: site-specific slopes","4","ok",""
"low",15,6,"Federated: site-specific slopes","5","ok",""
"low",15,6,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,6,"Federated: site-specific slopes","1","ok",""
"moderate",15,6,"Federated: site-specific slopes","2","ok",""
"moderate",15,6,"Federated: site-specific slopes","3","ok",""
"moderate",15,6,"Federated: site-specific slopes","4","ok",""
"moderate",15,6,"Federated: site-specific slopes","5","ok",""
"moderate",15,6,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,6,"Federated: site-specific slopes","1","ok",""
"high",15,6,"Federated: site-specific slopes","2","ok",""
"high",15,6,"Federated: site-specific slopes","3","ok",""
"high",15,6,"Federated: site-specific slopes","4","ok",""
"high",15,6,"Federated: site-specific slopes","5","ok",""
"high",15,6,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,7,"Federated: site-specific slopes","1","ok",""
"low",5,7,"Federated: site-specific slopes","2","ok",""
"low",5,7,"Federated: site-specific slopes","3","ok",""
"low",5,7,"Federated: site-specific slopes","4","ok",""
"low",5,7,"Federated: site-specific slopes","5","ok",""
"low",5,7,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,7,"Federated: site-specific slopes","1","ok",""
"moderate",5,7,"Federated: site-specific slopes","2","ok",""
"moderate",5,7,"Federated: site-specific slopes","3","ok",""
"moderate",5,7,"Federated: site-specific slopes","4","ok",""
"moderate",5,7,"Federated: site-specific slopes","5","ok",""
"moderate",5,7,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,7,"Federated: site-specific slopes","1","ok",""
"high",5,7,"Federated: site-specific slopes","2","ok",""
"high",5,7,"Federated: site-specific slopes","3","ok",""
"high",5,7,"Federated: site-specific slopes","4","ok",""
"high",5,7,"Federated: site-specific slopes","5","ok",""
"high",5,7,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,7,"Federated: site-specific slopes","1","ok",""
"low",10,7,"Federated: site-specific slopes","2","ok",""
"low",10,7,"Federated: site-specific slopes","3","ok",""
"low",10,7,"Federated: site-specific slopes","4","ok",""
"low",10,7,"Federated: site-specific slopes","5","ok",""
"low",10,7,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,7,"Federated: site-specific slopes","1","ok",""
"moderate",10,7,"Federated: site-specific slopes","2","ok",""
"moderate",10,7,"Federated: site-specific slopes","3","ok",""
"moderate",10,7,"Federated: site-specific slopes","4","ok",""
"moderate",10,7,"Federated: site-specific slopes","5","ok",""
"moderate",10,7,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,7,"Federated: site-specific slopes","1","ok",""
"high",10,7,"Federated: site-specific slopes","2","ok",""
"high",10,7,"Federated: site-specific slopes","3","ok",""
"high",10,7,"Federated: site-specific slopes","4","ok",""
"high",10,7,"Federated: site-specific slopes","5","ok",""
"high",10,7,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,7,"Federated: site-specific slopes","1","ok",""
"low",15,7,"Federated: site-specific slopes","2","ok",""
"low",15,7,"Federated: site-specific slopes","3","ok",""
"low",15,7,"Federated: site-specific slopes","4","ok",""
"low",15,7,"Federated: site-specific slopes","5","ok",""
"low",15,7,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,7,"Federated: site-specific slopes","1","ok",""
"moderate",15,7,"Federated: site-specific slopes","2","ok",""
"moderate",15,7,"Federated: site-specific slopes","3","ok",""
"moderate",15,7,"Federated: site-specific slopes","4","ok",""
"moderate",15,7,"Federated: site-specific slopes","5","ok",""
"moderate",15,7,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,7,"Federated: site-specific slopes","1","ok",""
"high",15,7,"Federated: site-specific slopes","2","ok",""
"high",15,7,"Federated: site-specific slopes","3","ok",""
"high",15,7,"Federated: site-specific slopes","4","ok",""
"high",15,7,"Federated: site-specific slopes","5","ok",""
"high",15,7,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,8,"Federated: site-specific slopes","1","ok",""
"low",5,8,"Federated: site-specific slopes","2","ok",""
"low",5,8,"Federated: site-specific slopes","3","ok",""
"low",5,8,"Federated: site-specific slopes","4","ok",""
"low",5,8,"Federated: site-specific slopes","5","ok",""
"low",5,8,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,8,"Federated: site-specific slopes","1","ok",""
"moderate",5,8,"Federated: site-specific slopes","2","ok",""
"moderate",5,8,"Federated: site-specific slopes","3","ok",""
"moderate",5,8,"Federated: site-specific slopes","4","ok",""
"moderate",5,8,"Federated: site-specific slopes","5","ok",""
"moderate",5,8,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,8,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",5,8,"Federated: site-specific slopes","2","ok",""
"high",5,8,"Federated: site-specific slopes","3","ok",""
"high",5,8,"Federated: site-specific slopes","4","ok",""
"high",5,8,"Federated: site-specific slopes","5","ok",""
"high",5,8,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,8,"Federated: site-specific slopes","1","ok",""
"low",10,8,"Federated: site-specific slopes","2","ok",""
"low",10,8,"Federated: site-specific slopes","3","ok",""
"low",10,8,"Federated: site-specific slopes","4","ok",""
"low",10,8,"Federated: site-specific slopes","5","ok",""
"low",10,8,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,8,"Federated: site-specific slopes","1","ok",""
"moderate",10,8,"Federated: site-specific slopes","2","ok",""
"moderate",10,8,"Federated: site-specific slopes","3","ok",""
"moderate",10,8,"Federated: site-specific slopes","4","ok",""
"moderate",10,8,"Federated: site-specific slopes","5","ok",""
"moderate",10,8,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,8,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",10,8,"Federated: site-specific slopes","2","ok",""
"high",10,8,"Federated: site-specific slopes","3","ok",""
"high",10,8,"Federated: site-specific slopes","4","ok",""
"high",10,8,"Federated: site-specific slopes","5","ok",""
"high",10,8,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,8,"Federated: site-specific slopes","1","ok",""
"low",15,8,"Federated: site-specific slopes","2","ok",""
"low",15,8,"Federated: site-specific slopes","3","ok",""
"low",15,8,"Federated: site-specific slopes","4","ok",""
"low",15,8,"Federated: site-specific slopes","5","ok",""
"low",15,8,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,8,"Federated: site-specific slopes","1","ok",""
"moderate",15,8,"Federated: site-specific slopes","2","ok",""
"moderate",15,8,"Federated: site-specific slopes","3","ok",""
"moderate",15,8,"Federated: site-specific slopes","4","ok",""
"moderate",15,8,"Federated: site-specific slopes","5","ok",""
"moderate",15,8,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,8,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",15,8,"Federated: site-specific slopes","2","ok",""
"high",15,8,"Federated: site-specific slopes","3","ok",""
"high",15,8,"Federated: site-specific slopes","4","ok",""
"high",15,8,"Federated: site-specific slopes","5","ok",""
"high",15,8,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,9,"Federated: site-specific slopes","1","ok",""
"low",5,9,"Federated: site-specific slopes","2","ok",""
"low",5,9,"Federated: site-specific slopes","3","ok",""
"low",5,9,"Federated: site-specific slopes","4","ok",""
"low",5,9,"Federated: site-specific slopes","5","ok",""
"low",5,9,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,9,"Federated: site-specific slopes","1","ok",""
"moderate",5,9,"Federated: site-specific slopes","2","ok",""
"moderate",5,9,"Federated: site-specific slopes","3","ok",""
"moderate",5,9,"Federated: site-specific slopes","4","ok",""
"moderate",5,9,"Federated: site-specific slopes","5","ok",""
"moderate",5,9,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,9,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",5,9,"Federated: site-specific slopes","2","ok",""
"high",5,9,"Federated: site-specific slopes","3","ok",""
"high",5,9,"Federated: site-specific slopes","4","ok",""
"high",5,9,"Federated: site-specific slopes","5","ok",""
"high",5,9,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,9,"Federated: site-specific slopes","1","ok",""
"low",10,9,"Federated: site-specific slopes","2","ok",""
"low",10,9,"Federated: site-specific slopes","3","ok",""
"low",10,9,"Federated: site-specific slopes","4","ok",""
"low",10,9,"Federated: site-specific slopes","5","ok",""
"low",10,9,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,9,"Federated: site-specific slopes","1","ok",""
"moderate",10,9,"Federated: site-specific slopes","2","ok",""
"moderate",10,9,"Federated: site-specific slopes","3","ok",""
"moderate",10,9,"Federated: site-specific slopes","4","ok",""
"moderate",10,9,"Federated: site-specific slopes","5","ok",""
"moderate",10,9,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,9,"Federated: site-specific slopes","1","ok",""
"high",10,9,"Federated: site-specific slopes","2","ok",""
"high",10,9,"Federated: site-specific slopes","3","ok",""
"high",10,9,"Federated: site-specific slopes","4","ok",""
"high",10,9,"Federated: site-specific slopes","5","ok",""
"high",10,9,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,9,"Federated: site-specific slopes","1","ok",""
"low",15,9,"Federated: site-specific slopes","2","ok",""
"low",15,9,"Federated: site-specific slopes","3","ok",""
"low",15,9,"Federated: site-specific slopes","4","ok",""
"low",15,9,"Federated: site-specific slopes","5","ok",""
"low",15,9,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,9,"Federated: site-specific slopes","1","ok",""
"moderate",15,9,"Federated: site-specific slopes","2","ok",""
"moderate",15,9,"Federated: site-specific slopes","3","ok",""
"moderate",15,9,"Federated: site-specific slopes","4","ok",""
"moderate",15,9,"Federated: site-specific slopes","5","ok",""
"moderate",15,9,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,9,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",15,9,"Federated: site-specific slopes","2","ok",""
"high",15,9,"Federated: site-specific slopes","3","ok",""
"high",15,9,"Federated: site-specific slopes","4","ok",""
"high",15,9,"Federated: site-specific slopes","5","ok",""
"high",15,9,"Pooled site FE: shared slopes","Overall","ok",""
"low",5,10,"Federated: site-specific slopes","1","ok",""
"low",5,10,"Federated: site-specific slopes","2","ok",""
"low",5,10,"Federated: site-specific slopes","3","ok",""
"low",5,10,"Federated: site-specific slopes","4","ok",""
"low",5,10,"Federated: site-specific slopes","5","ok",""
"low",5,10,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",5,10,"Federated: site-specific slopes","1","ok",""
"moderate",5,10,"Federated: site-specific slopes","2","ok",""
"moderate",5,10,"Federated: site-specific slopes","3","ok",""
"moderate",5,10,"Federated: site-specific slopes","4","ok",""
"moderate",5,10,"Federated: site-specific slopes","5","ok",""
"moderate",5,10,"Pooled site FE: shared slopes","Overall","ok",""
"high",5,10,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",5,10,"Federated: site-specific slopes","2","ok",""
"high",5,10,"Federated: site-specific slopes","3","ok",""
"high",5,10,"Federated: site-specific slopes","4","ok",""
"high",5,10,"Federated: site-specific slopes","5","ok",""
"high",5,10,"Pooled site FE: shared slopes","Overall","ok",""
"low",10,10,"Federated: site-specific slopes","1","ok",""
"low",10,10,"Federated: site-specific slopes","2","ok",""
"low",10,10,"Federated: site-specific slopes","3","ok",""
"low",10,10,"Federated: site-specific slopes","4","ok",""
"low",10,10,"Federated: site-specific slopes","5","ok",""
"low",10,10,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",10,10,"Federated: site-specific slopes","1","ok",""
"moderate",10,10,"Federated: site-specific slopes","2","ok",""
